,Max,Mean,Median,Min,Mode
Page total likes,139441.0,123194.176,129600.0,81370.0,136393
Type,-,-,-,-,Photo
Category,-,-,-,-,1
Post Month,-,-,-,-,10
Post Weekday,-,-,-,-,7
Post Hour,-,-,-,-,3
Paid,-,-,-,-,0.0
Lifetime Post Total Reach,180480.0,13903.36,5281.0,238.0,677
Lifetime Post Total Impressions,1110282.0,29585.948,9051.0,570.0,4372
Lifetime Engaged Users,11452.0,920.344,625.5,9.0,537
Lifetime Post Consumers,11328.0,798.772,551.5,9.0,182
Lifetime Post Consumptions,19779.0,1415.13,851.0,9.0,431
Lifetime Post Impressions by people who have liked your Page,1107833.0,16766.376,6255.5,567.0,1210
Lifetime Post reach by people who like your Page,51456.0,6585.488,3417.0,236.0,690
Lifetime People who have liked your Page and engaged with your post,4376.0,609.986,412.0,9.0,403
comment,372.0,7.482,3.0,0.0,0
like,5172.0,177.94589178356713,101.0,0.0,98.0
share,790.0,27.266129032258064,19.0,0.0,13.0
Total Interactions,6334.0,212.12,123.5,0.0,0
