,Max,Mean,Median,Min,Mode
Page total likes,138895.0,116363.18181818182,115396.0,85979.0,138353
Type,-,-,-,-,Link
Category,-,-,-,-,1
Post Month,-,-,-,-,12
Post Weekday,-,-,-,-,6
Post Hour,-,-,-,-,3
Paid,-,-,-,-,0.0
Lifetime Post Total Reach,70912.0,18544.590909090908,7422.0,1536.0,-
Lifetime Post Total Impressions,229733.0,28725.454545454544,9773.0,3094.0,-
Lifetime Engaged Users,1374.0,342.8181818181818,244.0,24.0,66
Lifetime Post Consumers,1106.0,292.6818181818182,205.0,23.0,322
Lifetime Post Consumptions,1345.0,374.09090909090907,290.0,26.0,-
Lifetime Post Impressions by people who have liked your Page,42338.0,11148.59090909091,9034.5,2307.0,-
Lifetime Post reach by people who like your Page,27232.0,6544.363636363636,5039.0,1180.0,-
Lifetime People who have liked your Page and engaged with your post,788.0,210.54545454545453,161.5,19.0,-
comment,15.0,2.8181818181818183,1.5,0.0,0
like,379.0,73.31818181818181,37.0,5.0,12.0
share,44.0,12.909090909090908,10.5,0.0,2.0
Total Interactions,420.0,89.04545454545455,52.5,6.0,14
