,Max,Mean,Median,Min,Mode
Page total likes,139441.0,122354.17136150235,128032.0,81370.0,124940
Type,-,-,-,-,Photo
Category,-,-,-,-,1
Post Month,-,-,-,-,10
Post Weekday,-,-,-,-,7
Post Hour,-,-,-,-,3
Paid,-,-,-,-,0.0
Lifetime Post Total Reach,180480.0,13137.81455399061,4675.0,238.0,677
Lifetime Post Total Impressions,1110282.0,28994.49765258216,8118.5,570.0,4372
Lifetime Engaged Users,11452.0,818.9460093896714,605.5,9.0,537
Lifetime Post Consumers,11328.0,690.4319248826291,528.5,9.0,298
Lifetime Post Consumptions,19779.0,1299.0258215962442,827.0,9.0,431
Lifetime Post Impressions by people who have liked your Page,1107833.0,16422.483568075117,5498.0,567.0,1210
Lifetime Post reach by people who like your Page,51456.0,6059.103286384977,3110.0,236.0,690
Lifetime People who have liked your Page and engaged with your post,3430.0,507.30516431924883,403.0,9.0,403
comment,372.0,7.492957746478873,3.0,0.0,0
like,5172.0,182.61176470588236,100.0,0.0,7.0
share,790.0,27.158767772511847,19.0,0.0,14.0
Total Interactions,6334.0,216.57981220657277,122.0,0.0,0
