,Max,Mean,Median,Min,Mode
Page total likes,138895.0,135014.85714285713,137893.0,126424.0,137893
Type,-,-,-,-,Video
Category,-,-,-,-,1
Post Month,-,-,-,-,11
Post Weekday,-,-,-,-,2
Post Hour,-,-,-,-,11
Paid,-,-,-,-,1.0
Lifetime Post Total Reach,139008.0,51205.71428571428,30624.0,13544.0,-
Lifetime Post Total Impressions,277100.0,102622.42857142857,56950.0,30235.0,-
Lifetime Engaged Users,3872.0,1707.0,1779.0,459.0,-
Lifetime Post Consumers,3822.0,1584.7142857142858,1643.0,411.0,-
Lifetime Post Consumptions,7327.0,2600.1428571428573,2331.0,539.0,-
Lifetime Post Impressions by people who have liked your Page,107502.0,43149.857142857145,30131.0,21436.0,-
Lifetime Post reach by people who like your Page,38720.0,17386.285714285714,14112.0,9568.0,-
Lifetime People who have liked your Page and engaged with your post,2218.0,979.4285714285714,885.0,363.0,-
comment,23.0,12.285714285714286,17.0,2.0,2
like,449.0,231.42857142857142,204.0,65.0,-
share,121.0,52.142857142857146,44.0,13.0,13.0
Total Interactions,550.0,295.85714285714283,271.0,81.0,-
